duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,label,attack_type,bytes_ratio,total_bytes,error_ratio,service_similarity,bytes_per_second,login_risk,conn_density
3.26,1179.0,1244.0,0,0,0,0,0,1,0.0,27,36.0,0.03,0.022,0.989,0.025,162,186,0,normal,1.0542,2423.0,0.026,0.964,743.0236,0.0,0.1656
0.37,792.0,1400.0,0,0,0,4,0,1,0.0,20,37.0,0.019,0.047,0.926,0.035,149,234,0,normal,1.7654,2192.0,0.033,0.891,5908.3558,0.0,0.1333
0.27,2076.0,954.0,0,0,0,4,0,1,0.0,25,25.0,0.019,0.021,0.961,0.083,103,242,0,normal,0.4593,3030.0,0.02,0.878,11180.8118,0.0,0.2404
2.16,756.0,857.0,0,0,0,3,0,1,0.0,32,6.0,0.028,0.023,0.855,0.095,252,154,0,normal,1.1321,1613.0,0.0255,0.76,746.4137,0.0,0.1265
23.01,1413.0,975.0,0,0,0,0,0,1,0.0,16,33.0,0.037,0.04,0.998,0.01,249,125,0,normal,0.6895,2388.0,0.0385,0.988,103.7765,0.0,0.064
2.64,1766.0,1148.0,0,0,0,2,0,1,0.0,11,38.0,0.034,0.009,0.931,0.079,123,222,0,normal,0.6497,2914.0,0.0215,0.852,1103.3699,0.0,0.0887
0.82,1571.0,1302.0,0,0,0,1,0,1,0.0,25,32.0,0.008,0.018,0.923,0.049,104,161,0,normal,0.8282,2873.0,0.013,0.874,3499.391,0.0,0.2381
3.23,1631.0,1264.0,0,0,0,4,0,1,0.0,19,37.0,0.024,0.028,0.824,0.055,220,136,0,normal,0.7745,2895.0,0.026,0.769,896.0074,0.0,0.086
0.14,1286.0,1003.0,0,0,0,3,0,1,0.0,24,20.0,0.029,0.034,0.809,0.02,178,225,0,normal,0.7793,2289.0,0.0315,0.789,16234.0426,0.0,0.1341
1.07,1233.0,1257.0,0,0,0,3,0,1,0.0,11,35.0,0.022,0.032,0.904,0.077,227,104,0,normal,1.0186,2490.0,0.027,0.827,2324.93,0.0,0.0482
4.85,1124.0,1263.0,0,0,0,3,0,1,0.0,47,37.0,0.034,0.024,0.923,0.075,142,78,0,normal,1.1227,2387.0,0.029,0.848,492.0635,0.0,0.3287
11.13,1173.0,1089.0,0,0,0,1,0,1,0.0,29,33.0,0.001,0.037,0.812,0.007,212,252,0,normal,0.9276,2262.0,0.019,0.805,203.2162,0.0,0.1362
