duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,label,attack_type
3.26,1179,1244,0,0,0,0,0,1,0,27,36,0.03,0.022,0.989,0.025,162,186,0,normal
0.37,792,1400,0,0,0,4,0,1,0,20,37,0.019,0.047,0.926,0.035,149,234,0,normal
0.27,2076,954,0,0,0,4,0,1,0,25,25,0.019,0.021,0.961,0.083,103,242,0,normal
2.16,756,857,0,0,0,3,0,1,0,32,6,0.028,0.023,0.855,0.095,253,154,0,normal
23.01,1413,975,0,0,0,0,0,1,0,16,33,0.037,0.04,0.999,0.01,249,125,0,normal
2.64,1766,1148,0,0,0,2,0,1,0,11,38,0.034,0.009,0.931,0.079,123,222,0,normal
0.82,1571,1302,0,0,0,1,0,1,0,25,32,0.008,0.018,0.923,0.049,104,161,0,normal
3.23,1631,1264,0,0,0,4,0,1,0,19,37,0.024,0.028,0.824,0.055,220,136,0,normal
0.14,1286,1003,0,0,0,3,0,1,0,24,20,0.029,0.034,0.809,0.02,178,225,0,normal
1.07,1233,1257,0,0,0,3,0,1,0,11,35,0.022,0.032,0.904,0.077,227,104,0,normal
4.85,1124,1263,0,0,0,3,0,1,0,47,37,0.034,0.024,0.923,0.075,142,78,0,normal
11.13,1173,1089,0,0,0,1,0,1,0,29,33,0.0,0.037,0.812,0.007,212,254,0,normal
2.86,1442,921,0,0,0,0,0,1,0,32,2,0.031,0.003,0.858,0.009,192,148,0,normal
0.09,2373,1105,0,0,0,3,0,1,0,46,15,0.016,0.037,0.844,0.041,224,252,0,normal
2.83,1850,1591,0,0,0,3,0,1,0,1,31,0.016,0.031,0.829,0.096,175,148,0,normal
2.1,1441,1414,0,0,0,0,0,1,0,16,22,0.01,0.021,0.828,0.029,193,99,0,normal
0.09,2042,553,0,1,0,3,0,1,0,4,43,0.045,0.021,0.99,0.092,153,148,0,normal
2.77,2069,804,0,0,0,3,0,1,0,12,38,0.045,0.036,0.902,0.095,119,179,0,normal
2.69,1089,858,0,0,0,2,0,1,0,14,35,0.034,0.036,0.881,0.036,152,237,0,normal
14.48,1264,1139,0,0,0,3,0,1,0,8,9,0.039,0.02,0.981,0.061,124,193,0,normal
1.56,2024,689,0,0,0,4,0,1,0,13,41,0.029,0.015,0.824,0.015,164,181,0,normal
1.53,1551,672,0,0,0,2,0,1,0,15,35,0.026,0.024,0.946,0.077,127,178,0,normal
10.5,1459,1332,0,0,0,3,1,1,0,39,46,0.022,0.009,0.984,0.058,201,98,0,normal
1.19,944,908,0,0,0,2,0,1,0,45,27,0.031,0.032,0.814,0.096,233,62,0,normal
10.0,1064,8369,0,0,0,6,0,1,7,8,6,0.082,0.003,0.626,0.174,21,1,1,r2l_exfiltration
3.84,2385,906,0,0,0,4,0,1,0,5,43,0.025,0.05,0.803,0.085,189,103,0,normal
0.27,5628,0,0,0,0,0,0,0,0,459,406,0.883,0.05,0.949,0.012,9,6,1,dos
0.62,1414,929,0,0,0,3,0,1,0,21,38,0.005,0.048,0.871,0.084,153,145,0,normal
0.73,847,251,0,0,0,2,9,0,3,62,3,0.107,0.891,0.605,0.152,22,18,1,brute_force
0.23,1175,1530,0,0,0,4,0,1,0,18,23,0.033,0.004,0.993,0.051,184,73,0,normal
9.16,947,432,0,0,0,1,0,1,0,13,35,0.007,0.036,0.919,0.009,175,187,0,normal
7.49,872,1871,0,0,0,3,0,1,0,39,36,0.006,0.05,0.942,0.031,135,76,0,normal
46.39,1125,6285,0,0,0,16,0,1,3,14,13,0.081,0.089,0.626,0.154,22,5,1,r2l_exfiltration
45.61,1429,9525,0,0,0,11,0,1,12,10,4,0.065,0.001,0.693,0.132,13,5,1,r2l_exfiltration
8.09,1563,1298,0,0,0,3,0,1,0,20,27,0.028,0.025,0.824,0.098,200,150,0,normal
13.04,2629,639,0,0,0,1,1,1,0,29,15,0.04,0.04,0.894,0.003,233,245,0,normal
1.99,903,1062,0,0,0,4,0,1,0,26,14,0.007,0.019,0.946,0.002,210,53,0,normal
0.06,207,67,0,0,0,2,0,0,0,260,2,0.12,0.965,0.037,0.943,65,8,1,probe
30.59,1117,9658,0,0,0,14,1,1,2,4,2,0.043,0.095,0.913,0.071,27,10,1,r2l_exfiltration
2.52,1204,816,0,0,0,1,0,1,0,34,13,0.002,0.002,0.866,0.065,228,122,0,normal
5.42,1696,1157,0,0,0,0,0,1,0,9,30,0.001,0.019,0.922,0.037,109,52,0,normal
1.51,6910,0,1,0,0,1,0,0,0,379,462,0.879,0.034,0.914,0.019,7,2,1,dos
0.24,1857,1942,0,0,0,0,0,1,0,2,26,0.046,0.034,0.806,0.005,231,199,0,normal
